Arrest,UnitedStatesTotal,Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,18.4,22.3,19.8,17.7,16.4,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,7.1,12.7,5.2,6.8,5.4,,,
Marijuana_Sale_Manufacturing,6,6.3,8.9,5,5.7,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.7,1.4,1.3,3,0.6,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,3.5,1.8,4.4,2.8,4.8,,,
Total_Possession,81.6,77.7,80.2,82.3,83.6,,,
Heroin_or_cocaine_and_their_derivatives_Possession,17.7,18.8,10.9,17.2,21.2,,,
Marijuana_Possession,45.6,47,52.8,51.3,34.3,,,
Synthetic_or_manufactured_drugs_Possession,3.7,2.8,3.9,4.8,2.6,,,
Other_dangerous_nonnarcotic_drugs_Possession,14.6,9.1,12.5,9,25.6,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,_,,,,,,
