Arrest,UnitedStatestotal,Northeast,Midwest,South,West,Parent,,
Origin,,,,,,,,
Total_Sale_Manufacturing,13.6,15.9,12.8,15.9,9.4,Origin,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,4.4,8.6,3,4.2,3.1,Total_Sale_Manufacturing,,
Marijuana_Sale_Manufacturing,3.3,3.9,4.3,3.9,1.5,Total_Sale_Manufacturing,,_
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.8,1.2,0.8,3.5,0.4,Total_Sale_Manufacturing,,
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,4,2.2,4.7,4.3,4.4,Total_Sale_Manufacturing,,
Total_Possession,86.4,84.1,87.2,84.1,90.6,Origin,,
Heroin_or_cocaine_and_their_derivatives_Possession,20.2,19,12.7,13.5,34.5,Total_Possession,,
Marijuana_Possession,36.8,48.9,45.8,44.8,13.4,Total_Possession,,
Synthetic_or_manufactured_drugs_Possession,4.3,3.5,4.6,5.9,2.6,Total_Possession,,
Other_dangerous_nonnarcotic_drugs_Possession,25,12.8,24.1,19.8,40.1,Total_Possession,,
